URL,Title,Price,Sale,Saving,PDP_Title,PDP_Price,PDP_Sale,PDP_OldPrice,PDP_Saving,availability,usage,stock #,length,width,height,tilt bed,color,gvwr,payload capacity,style,trim color,length overall,PDP_new/used,PDP_availability,PDP_location,PDP_primary color,PDP_stock #,PDP_condition,PDP_gvwr,PDP_height,PDP_length,PDP_payload capacity,PDP_width,PDP_trim color,PDP_hitch type,PDP_number of axles,PDP_tilt bed,PDP_frame,PDP_usage
"('https://www.onestoptrailershop.com/inventory/2025-legend-trailers-8x16-premium-contractor-trailer-with-barn-doors-barrington-nh-03825-13382548i', None)",20258x16 Premium Contractor trailer with barn doorsLegend Trailers,"$16,999.00",True,"You Save $1,660.00",2025 Legend Trailers 8x16 Premium Contractor trailer with barn doors,"16,999.00",True,"Was $18,659.00","Save $1,660.00 now until 11/30/2026",In Stock,New,14660,16,8,7,,,,,,,,New,In Stock,One Stop Trailer Shop,White,14660,Excellent,9990,"7' 0""","16' 0""",7508,"8' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-nitro-2025-85x24-race-car-trailer-extra-height-blackout-with-spoiler-barrington-nh-03825-13382552i', None)",20252025 8.5x24 race car trailer extra height blackout with spoilerNitro,"$19,400.00",True,"You Save $2,500.00",2025 Nitro 2025 8.5x24 race car trailer extra height blackout with spoiler,"19,400.00",True,"Was $21,900.00","Save $2,500.00 now until 07/31/2026",In Stock,New,08670,24,8.5,7.5,,,,,,,,New,In Stock,One Stop Trailer Shop,Black,08670,Excellent,9990,"7' 6""","24' 0""",7840,"8' 6""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2024-rance-aluminum-trailers-85x20-extra-height-9990lb-aluminum-enclosed-car-trailer-barrington-nh-03825-13382610i', None)",20248.5X20 EXTRA HEIGHT 9990LB ALUMINUM ENCLOSED CAR TRAILERRance Aluminum Trailers,"$15,999.00",True,"You Save $2,300.00",2024 Rance Aluminum Trailers 8.5X20 EXTRA HEIGHT 9990LB ALUMINUM ENCLOSED CAR TRAILER,"15,999.00",True,"Was $18,299.00","Save $2,300.00 now until 07/31/2026",In Stock,New,35855,20,8.5,7.5,,,,,,,,New,In Stock,One Stop Trailer Shop,Charcoal,35855,Excellent,9990,"7' 6""","20' 0""",7740,"8' 6""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-wolverine-7x22-14000lb-gvwr-aluminum-equipment-trailer-with-barrington-nh-03825-13670342i', None)",20267x22 14000lb gvwr aluminum equipment trailer withWolverine,"$10,999.00",True,"You Save $1,500.00",2026 Wolverine 7x22 14000lb gvwr aluminum equipment trailer with,"10,999.00",True,"Was $12,499.00","Save $1,500.00 now until 11/30/2026",In Stock,New,58342,22 ft. 0 in.,7 ft. 0 in.,1 ft. 10 in.,,,,,,,,New,In Stock,One Stop Trailer Shop,silver,58342,Excellent,14000,"1' 10""","22' 0""",12240,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-wolverine-7x26-14000lb-gvwr-flatbed-utility-equipment-trailer-aluminum-barrington-nh-03825-13670368i', None)","20267x26 14,000lb gvwr flatbed utility equipment trailer aluminumWolverine","$11,799.00",True,You Save $800.00,"2026 Wolverine 7x26 14,000lb gvwr flatbed utility equipment trailer aluminum","11,799.00",True,"Was $12,599.00",Save $800.00 now until 11/30/2026,In Stock,New,58341,26 ft. 0 in.,7 ft. 0 in.,1 ft. 10 in.,,,,,,,,New,In Stock,One Stop Trailer Shop,silver,58341,Excellent,14000,"1' 10""","26' 0""",12320,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-echo-7x20-16000lb-gvwr-commercial-grade-equipment-trailer-barrington-nh-03825-13780608i', None)","20267x20 16,000lb gvwr commercial grade equipment trailerECHO","$8,799.00",False,,"2026 ECHO 7x20 16,000lb gvwr commercial grade equipment trailer","8,799.00",False,,,In Stock,New,00096,20 ft. 0 in.,7 ft. 0 in.,,No,,,,,,,New,In Stock,One Stop Trailer Shop,red,00096,Excellent,16100,,"20' 0""",13500,"7' 0""",red,A-Frame,2,No,Steel,
"('https://www.onestoptrailershop.com/inventory/2025-nitro-75x16-aluminum-cargo-trailer-extra-height-with-black-out-trim-package-barrington-nh-03825-13381983i', None)",20257.5x16 aluminum cargo trailer extra height with black out trim packageNitro,"$12,499.00",True,"You Save $1,200.00",2025 Nitro 7.5x16 aluminum cargo trailer extra height with black out trim package,"12,499.00",True,"Was $13,699.00","Save $1,200.00 now until 07/31/2026",In Stock,New,17924,16,7.5,7.5,,,,,,,,New,In Stock,One Stop Trailer Shop,Red,17924,Excellent,7000,"7' 6""","16' 0""",5100,"7' 6""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2024-haul-about-5x8-cargo-trailer-barn-door-barrington-nh-03825-13382510i', None)",20245x8 cargo trailer barn doorHaul-About,"$3,699.00",False,,2024 Haul-About 5x8 cargo trailer barn door,"3,699.00",False,,,In Stock,New,13021,8,5,,,Silver,,,,,,New,In Stock,One Stop Trailer Shop,Silver,13021,Excellent,2990,,"8' 0""",,"5' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-covered-wagon-6x10-enclosed-cargo-trailer-silver-with-black-out-package-barrington-nh-03825-13668218i', None)",20256X10 ENCLOSED CARGO TRAILER SILVER WITH BLACK OUT PACKAGE,"$5,399.00",True,You Save $800.00,2025 Covered Wagon 6X10 ENCLOSED CARGO TRAILER SILVER WITH BLACK OUT PACKAGE,"5,399.00",True,"Was $6,199.00",Save $800.00 now until 11/30/2026,In Stock,New,03869,10,6,6.25,,,,,,,,New,In Stock,One Stop Trailer Shop,silver,03869,Excellent,2999,"6' 3""","10' 0""",1659,"6' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-anvil-trailers-85x18-extra-height-enclosed-carego-trailer-or-car-hauler-barrington-nh-03825-13669713i', None)",20258.5X18 EXTRA HEIGHT ENCLOSED CAREGO TRAILER OR CAR HAULERAnvil Trailers,"$9,999.00",True,"You Save $1,700.00",2025 Anvil Trailers 8.5X18 EXTRA HEIGHT ENCLOSED CAREGO TRAILER OR CAR HAULER,"9,999.00",True,"Was $11,699.00","Save $1,700.00 now until 11/30/2026",In Stock,New,39795,18,8.5,7.5,,,,,,,,New,In Stock,One Stop Trailer Shop,black,39795,Excellent,7000,"7' 6""","18' 0""",4300,"8' 6""",,,,,,
