URL,Year,Name,Brand,PLP_Price,Image,Sale,Saving,PDP_Title,Sale Price,PDP_Sale,Price,PDP_Saving,availability,usage,stock #,length,width,height,tilt bed,color,gvwr,payload capacity,style,trim color,length overall,PDP_new/used,PDP_availability,PDP_location,PDP_primary color,PDP_stock #,PDP_condition,PDP_gvwr,PDP_height,PDP_length,PDP_payload capacity,PDP_width,PDP_trim color,PDP_hitch type,PDP_number of axles,PDP_tilt bed,PDP_frame,PDP_usage
"('https://www.onestoptrailershop.com/inventory/2025-nitro-7x14-aluminum-contractor-trailer-barn-doors-barrington-nh-03825-13382546i', None)",2025,7x14 aluminum contractor trailer barn doors,Nitro,"$12,499.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2fimages%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13382546%2f2025_Nitro_7x14_aluminum_contractor_trailer_barn_doors__Contractor_9rg7ncgwn60b.webp.webp&mw=383&mh=258&f=1&fz=1,True,"You Save $1,300.00",2025 Nitro 7x14 aluminum contractor trailer barn doors,"12,499.00",True,"Was $13,799.00","Save $1,300.00 now until 07/31/2026",In Stock,New,08911,7,7,6.833333333333333,,,,,,,,New,In Stock,One Stop Trailer Shop,Black,08911,Excellent,7000,"6' 10""","7' 0""",5420,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-nitro-75x16-aluminum-contractor-trailer-with-black-out-trim-package-barrington-nh-03825-13670761i', None)",2026,7.5X16 ALUMINUM CONTRACTOR TRAILER WITH BLACK OUT TRIM PACKAGE,Nitro,"$13,799.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13670761%2f2026_Nitro_7.5X16_ALUMINUM_CONTRACTOR_TRAILER_WITH_BLACK_OUT_TRIM_PACKAGE__Contractor_Tm7lPEqo7xmf.webp.webp&mw=383&mh=258&f=1&fz=1,True,"You Save $2,096.00",2026 Nitro 7.5X16 ALUMINUM CONTRACTOR TRAILER WITH BLACK OUT TRIM PACKAGE,"13,799.00",True,"Was $15,895.00","Save $2,096.00 now until 11/30/2026",In Stock,New,09493,16,7.5,6.833333333333333,,,,,,,,New,In Stock,One Stop Trailer Shop,white,09493,Excellent,7000,"6' 10""","16' 0""",5300,"7' 6""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-echo-7x20-16000lb-gvwr-commercial-grade-equipment-trailer-barrington-nh-03825-13780608i', None)",2026,"7x20 16,000lb gvwr commercial grade equipment trailer",ECHO,"$8,799.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2fimages%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13780608%2f20E3.jpg&mw=383&mh=258&f=1&fz=1,False,,"2026 ECHO 7x20 16,000lb gvwr commercial grade equipment trailer","8,799.00",False,,,In Stock,New,00096,20 ft. 0 in.,7 ft. 0 in.,,No,,,,,,,New,In Stock,One Stop Trailer Shop,red,00096,Excellent,16100,,"20' 0""",13500,"7' 0""",red,A-Frame,2,No,Steel,
"('https://www.onestoptrailershop.com/inventory/2024-legend-trailers-7x14-extra-height-aluminum-enclosed-cargo-trailer-sxs-atv-or-motorcycle-barrington-nh-03825-13382098i', None)",2024,7x14 extra height aluminum enclosed cargo trailer sxs atv or motorcycle,Legend Trailers,"$10,999.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2fimages%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13382098%2f2024_Legend_Trailers_7x14_extra_height_aluminum_enclosed_cargo_trailer_sxs_atv_or_motorcycle_Cargo__Enclosed_Trailer_GpRQ124sxa6b.webp&mw=383&mh=258&f=1&fz=1,True,"You Save $2,200.00",2024 Legend Trailers 7x14 extra height aluminum enclosed cargo trailer sxs atv or motorcycle,"10,999.00",True,"Was $13,199.00","Save $2,200.00 now until 07/31/2026",In Stock,New,04395,14,7,7,,,,,,,,New,In Stock,One Stop Trailer Shop,Black,04395,Excellent,7000,"7' 0""","14' 0""",4750,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-high-country-trailers-6x12-aluminum-cargo-trailer-rear-ramp-xlt-series-barrington-nh-03825-13382479i', None)",2025,6x12 aluminum cargo trailer rear ramp xlt series,High Country Trailers,"$5,999.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2fimages%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13382479%2f2025_High_Country_6x12_aluminum_cargo_trailer_rear_ramp_xlt_series__Cargo__Enclosed_Trailer_7rizCKsd9r1z.png&mw=383&mh=258&f=1&fz=1,True,You Save $900.00,2025 High Country Trailers 6x12 aluminum cargo trailer rear ramp xlt series,"5,999.00",True,"Was $6,899.00",Save $900.00 now until 07/31/2026,In Stock,New,144798,12,6,5.833333333333333,,,,,,,,New,In Stock,One Stop Trailer Shop,White,144798,Excellent,2990,"5' 10""","12' 0""",,"6' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-haul-about-5x10-enclosed-cargo-trailer-with-barn-door-side-door-barrington-nh-03825-13669502i', None)",2025,5x10 enclosed cargo trailer with barn door & side door,Haul-About,"$4,199.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13669502%2f2025_Haul-About_5x10_enclosed_cargo_trailer_with_barn_door__side_door_Cargo__Enclosed_Trailer_Su5CrYc1yxwx.webp.webp&mw=383&mh=258&f=1&fz=1,True,You Save $700.00,2025 Haul-About 5x10 enclosed cargo trailer with barn door & side door,"4,199.00",True,"Was $4,899.00",Save $700.00 now until 11/30/2026,In Stock,New,16482,100,5,4,,,,,,,,New,In Stock,One Stop Trailer Shop,black,16482,Excellent,2999,"4' 0""","100' 0""",2094,"5' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-anvil-trailers-7x14-enclosed-cargo-trailer-rear-ramp-white-poly-core-sides-barrington-nh-03825-13669696i', None)",2025,7x14 enclosed cargo trailer rear ramp white poly core sides,Anvil Trailers,"$7,199.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13669696%2f2025_Anvil_Trailers_7x14_enclosed_cargo_trailer_rear_ramp_white_poly_core_sides__Cargo__Enclosed_Trailer_NSqPDsgx7cam.webp.webp&mw=383&mh=258&f=1&fz=1,True,"You Save $1,150.00",2025 Anvil Trailers 7x14 enclosed cargo trailer rear ramp white poly core sides,"7,199.00",True,"Was $8,349.00","Save $1,150.00 now until 11/30/2026",In Stock,New,39793,14,7,6.25,,,,,,,,New,In Stock,One Stop Trailer Shop,white,39793,Excellent,7000,"6' 3""","14' 0""",4680,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-wolverine-7x14-aluminum-utility-trailer-with-aluminum-wheels-electric-tongue-jack-barrington-nh-03825-13382566i', None)",2025,7x14 aluminum utility trailer with aluminum wheels & electric tongue jack,,"$4,199.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2fimages%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13382566%2f2025_Wolverine_Trailers_7x14_aluminum_utility_trailer_with_aluminum_wheels__electric_tongue_jack_Utility_Trailer_9miNwOhbyn6e.png&mw=383&mh=258&f=1&fz=1,True,You Save $850.00,2025 Wolverine 7x14 aluminum utility trailer with aluminum wheels & electric tongue jack,"4,199.00",True,"Was $5,049.00",Save $850.00 now until 07/31/2026,In Stock,New,56867,14,7,,,Silver,,,,,,New,In Stock,One Stop Trailer Shop,Silver,56867,Excellent,2999,,"14' 0""",2159,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-high-country-trailers-55x10-aluminum-utility-trailer-with-aluminum-floor-barrington-nh-03825-13382577i', None)",2025,5.5x10 aluminum utility trailer with aluminum floor,High Country Trailers,"$2,899.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2fimages%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13382577%2f2025_High_Country_Trailers_5.5x10_aluminum_utility_trailer_with_aluminum_floor_Utility_Trailer_QUNtkO1pllcd.png&mw=383&mh=258&f=1&fz=1,True,"You Save $1,000.00",2025 High Country Trailers 5.5x10 aluminum utility trailer with aluminum floor,"2,899.00",True,"Was $3,899.00","Save $1,000.00 now until 07/31/2026",In Stock,New,21641,10,5.333333333333333,,,,2200,,,,,New,In Stock,One Stop Trailer Shop,,21641,Excellent,2200,,"10' 0""",1723,"5' 4""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2024-high-country-trailers-7x12-flex-haul-tilt-utility-trailer-all-aluminum-barrington-nh-03825-13382601i', None)",2024,7x12 flex haul tilt utility trailer all aluminum,High Country Trailers,"$4,299.00",https://cdnmedia.endeavorsuite.com/images/ThumbGenerator/Thumb.aspx?img=%2f%2fcdnmedia.endeavorsuite.com%2fimages%2forganizations%2f0a151a77-5172-4eb1-bd36-ed815d82ff5e%2finventory%2f13382601%2f2024_Triton_Trailers_7x12_flex_haul_tilt_utility_trailer_all_aluminum_Utility_Trailer_CSPnNokami8t.png&mw=383&mh=258&f=1&fz=1,True,"You Save $1,200.00",2024 High Country Trailers 7x12 flex haul tilt utility trailer all aluminum,"4,299.00",True,"Was $5,499.00","Save $1,200.00 now until 07/31/2026",In Stock,New,23116,12,6.75,1.5,,,,,,,,New,In Stock,One Stop Trailer Shop,,23116,Excellent,2999,"1' 6""","12' 0""",2265,"6' 9""",,,,,,
